Date,Open,High,Low,Close,Adj Close,Volume,EMA20,EMA50,RSI,MACD,MACD_signal,ATR,Volatility,Volume_MA,date,sentiment_score,sentiment_num,Target
2015-12-24,501.950012,503.600006,498.149994,500.274994,479.069305,5441138.0,489.0114630275778,485.7429846714376,63.22961597953855,8.152331755943976,,10.131294921570827,11.577595853611674,6322770.9,,0.0,0.0,1
2015-12-28,500.299988,506.875,500.0,505.200012,483.785553,5891016.0,490.66404203149176,486.89828298265417,65.81245134540214,8.630014898712318,,9.89870242717291,12.334931293809047,6368352.0,,0.0,0.0,1
2015-12-29,505.200012,509.350006,503.575012,507.700012,486.179596,6818120.0,492.3913051786389,488.1090156734097,67.07666156053267,9.105350524542644,,9.60415182523199,13.156893501660464,6025355.3,,0.0,0.0,0
2015-12-30,507.5,508.0,501.0,502.25,480.960602,3726642.0,493.3847594045414,488.91673318800383,61.718579183234915,8.939241006038912,,9.418140980572561,13.472075119173844,5914954.9,,0.0,0.0,1
2015-12-31,501.700012,509.850006,499.549988,507.299988,485.796509,8450132.0,494.77927447236704,489.9482962425932,64.54473591098818,9.110074574093915,,9.481132196245952,14.083070513996546,6164341.1,,0.0,0.0,1
2016-01-01,504.899994,509.450012,504.100006,507.674988,486.15564,2476270.0,496.0652187435771,490.92648669577983,64.75282919415096,9.17001455391943,,9.186051753656955,14.628076642983396,6028452.2,,0.0,0.0,0
2016-01-04,502.5,506.899994,493.350006,497.649994,476.555573,13793142.0,496.22254560587805,491.2916712433528,55.392966117744365,8.312759865134012,,9.553118199824313,14.573907265513474,6410809.2,,0.0,0.0,1
2016-01-05,500.149994,505.0,498.5,502.575012,481.27179,6832918.0,496.85064498458627,491.89540555209084,58.56193922900642,7.939268198819207,,9.395753042694006,14.290091019639444,6421377.3,,0.0,0.0,1
2016-01-06,503.799988,519.200012,500.200012,516.099976,494.223511,12233710.0,498.7470236296597,493.172264590734,65.75652805125557,8.635085039184276,8.539568049797714,10.081770682501576,14.161520659245426,6860890.2,,0.0,0.0,0
2016-01-07,510.524994,514.0,504.024994,506.625,485.150116,9024438.0,499.5205989067446,493.8724555782575,58.14075634542826,8.325996614522296,8.496853762742631,10.224142919465747,11.325614679013643,7102400.3,,0.0,0.0,1
2016-01-08,510.0,516.450012,508.350006,512.875,491.135223,9743678.0,500.82806427635234,494.8489730713695,61.32287120346613,8.487525665120188,8.494988143218144,10.195633568075337,10.502263330154301,7164597.7,,0.0,0.0,1
2016-01-11,507.975006,530.400024,505.5,525.799988,503.512329,13265342.0,503.2664421543728,496.4203789708314,66.92286090817251,9.548408999177013,8.705672314409918,11.245947170355672,10.602667217192986,7412860.3,,0.0,0.0,0
2016-01-12,527.5,532.700012,520.549988,522.724976,500.567719,10685522.0,505.16190454589287,497.74062726146946,64.52905116164753,10.025471520171038,8.969632155562143,11.310524086758841,9.91804659310656,7705663.4,,0.0,0.0,1
2016-01-13,526.549988,544.875,523.599976,538.424988,515.602234,32825622.0,508.39504962245076,499.76043950286754,70.3587879120717,11.537410674566104,9.483187859362936,12.084774080561784,11.802635466713815,8987638.4,,0.0,0.0,0
2016-01-14,531.924988,540.5,526.525024,530.825012,508.324341,12719826.0,510.5709568245544,501.2867488198128,64.80626863837954,11.98423203285779,9.983396694061907,12.219788503378798,12.219528471268058,9347104.9,,0.0,0.0,1
2016-01-15,534.875,544.75,532.799988,536.650024,513.902466,13151450.0,513.096387685452,503.0072051258418,66.9585549574143,12.662406623737581,10.519198679997043,12.341588467423168,13.659791516601068,9561933.9,,0.0,0.0,0
