date,sentiment_score,sentiment_num
2003-02-21,0.0,0.0
2003-03-12,0.0,0.0
2003-04-03,0.0,0.0
2003-04-12,0.3182,1.0
2003-04-17,-0.3182,-1.0
2003-06-04,0.0,0.0
2003-07-09,0.0,0.0
2003-08-26,0.0,0.0
2003-08-28,0.0,0.0
2003-09-19,0.0,0.0
2003-11-26,0.0,0.0
2003-12-05,-0.3612,-1.0
2003-12-18,0.0,0.0
2004-01-10,0.0,0.0
2004-01-16,0.34,1.0
2004-01-20,0.34,1.0
2004-01-23,0.0,0.0
2004-02-05,0.0,0.0
2004-02-11,0.0,0.0
2004-02-16,0.0,0.0
2004-03-31,0.1779,1.0
2004-04-17,0.0,0.0
2004-05-11,0.0,0.0
2004-06-02,0.0,0.0
2004-10-01,0.0,0.0
2004-10-06,0.0,0.0
2004-12-15,0.3818,1.0
2004-12-28,0.0,0.0
2005-01-12,0.0,0.0
2005-01-19,0.0,0.0
2005-02-17,0.0,0.0
2005-03-21,0.0,0.0
2005-03-28,0.3818,1.0
2005-04-10,0.0,0.0
2005-05-02,0.0,0.0
2005-05-12,0.0,0.0
2005-07-30,0.0,0.0
2005-08-12,-0.2732,-1.0
2005-10-12,0.0,0.0
2005-11-15,0.0,0.0
2005-11-17,0.0,0.0
2005-11-21,0.0,0.0
2005-11-24,0.0,0.0
2005-12-07,0.3412,1.0
2005-12-23,0.0,0.0
2005-12-30,0.0,0.0
2005-12-31,0.0,0.0
2006-01-07,0.0,0.0
2006-01-12,0.4939,1.0
2006-02-02,0.0,0.0
2006-02-08,0.0,0.0
2006-02-22,-0.3612,-1.0
2006-03-15,0.0,0.0
2006-03-21,0.0,0.0
2006-03-24,0.0,0.0
2006-03-31,0.0,0.0
2006-04-05,0.0,0.0
2006-04-06,-0.128,-1.0
2006-04-24,0.0,0.0
2006-07-17,0.2023,1.0
2006-07-26,0.0,0.0
2006-08-11,0.0,0.0
2006-08-18,0.0,0.0
2006-09-06,0.1779,1.0
2006-10-02,0.0,0.0
2006-12-20,0.0,0.0
