Model,R² Score,RMSE,MAE
Ridge Regression,0.9913043613384257,6.073860059422149,
LSTM (Time-Series),0.7522052745247173,0.09809110690524016,0.08163230193665248
Gradient Boosting,0.5147524853508012,45.37281235455583,
ENSEMBLE,-6.257496637960587,175.47185243452515,172.4900283526485
SVR,-67.65650104195183,539.7030501979397,
